onset	duration	sample	type	marker_code
0	0.0002	144628	Response	R128
0	0.0002	155128	Response	R128
0	0.0002	155160	Stimulus	S 1
1.0524	0.0002	160422	Stimulus	S 5
2.0554	0.0002	165437	Stimulus	S 5
2.0936	0.0002	165628	Response	R128
3.0566	0.0002	170443	Stimulus	S 5
4.0576	0.0002	175448	Stimulus	S 5
4.1936	0.0002	176128	Response	R128
5.0596	0.0002	180458	Stimulus	S 5
6.0526	0.0002	185423	Stimulus	S 5
6.2936	0.0002	186628	Response	R128
7.0624	0.0002	190472	Stimulus	S 5
8.0658	0.0002	195489	Stimulus	S 5
8.3936	0.0002	197128	Response	R128
9.0658	0.0002	200489	Stimulus	S 5
10.0658	0.0002	205489	Stimulus	S 5
10.4936	0.0002	207628	Response	R128
11.0666	0.0002	210493	Stimulus	S 5
12.0656	0.0002	215488	Stimulus	S 5
12.5936	0.0002	218128	Response	R128
13.0656	0.0002	220488	Stimulus	S 5
14.0666	0.0002	225493	Stimulus	S 5
14.6936	0.0002	228628	Response	R128
15.0698	0.0002	230509	Stimulus	S 5
16.0654	0.0002	235487	Stimulus	S 5
16.7936	0.0002	239128	Response	R128
17.0734	0.0002	240527	Stimulus	S 5
18.0748	0.0002	245534	Stimulus	S 5
18.8936	0.0002	249628	Response	R128
19.0736	0.0002	250528	Stimulus	S 5
20.0738	0.0002	255529	Stimulus	S 5
20.9936	0.0002	260128	Response	R128
21.0728	0.0002	260524	Stimulus	S 5
22.0758	0.0002	265539	Stimulus	S 5
23.0758	0.0002	270539	Stimulus	S 5
23.0936	0.0002	270628	Response	R128
24.0816	0.0002	275568	Stimulus	S 5
25.0816	0.0002	280568	Stimulus	S 5
25.1936	0.0002	281128	Response	R128
26.0814	0.0002	285567	Stimulus	S 5
27.083	0.0002	290575	Stimulus	S 5
27.2936	0.0002	291628	Response	R128
28.0838	0.0002	295579	Stimulus	S 5
29.0848	0.0002	300584	Stimulus	S 5
29.3936	0.0002	302128	Response	R128
30.0838	0.0002	305579	Stimulus	S 5
31.0858	0.0002	310589	Stimulus	S 5
31.4936	0.0002	312628	Response	R128
32.0858	0.0002	315589	Stimulus	S 5
33.0868	0.0002	320594	Stimulus	S 5
33.5936	0.0002	323128	Response	R128
34.0868	0.0002	325594	Stimulus	S 5
35.0898	0.0002	330609	Stimulus	S 5
35.6936	0.0002	333628	Response	R128
36.0828	0.0002	335574	Stimulus	S 5
37.0926	0.0002	340623	Stimulus	S 5
37.7936	0.0002	344128	Response	R128
38.0974	0.0002	345647	Stimulus	S 5
39.0974	0.0002	350647	Stimulus	S 5
39.8936	0.0002	354628	Response	R128
40.0974	0.0002	355647	Stimulus	S 5
41.0972	0.0002	360646	Stimulus	S 5
41.9936	0.0002	365128	Response	R128
42.0972	0.0002	365646	Stimulus	S 5
43.098	0.0002	370650	Stimulus	S 5
44.0936	0.0002	375628	Response	R128
44.0972	0.0002	375646	Stimulus	S 5
45.1	0.0002	380660	Stimulus	S 5
46.097	0.0002	385645	Stimulus	S 5
46.1936	0.0002	386128	Response	R128
47.104	0.0002	390680	Stimulus	S 5
48.104	0.0002	395680	Stimulus	S 5
48.2936	0.0002	396628	Response	R128
49.104	0.0002	400680	Stimulus	S 5
50.104	0.0002	405680	Stimulus	S 5
50.3936	0.0002	407128	Response	R128
51.1032	0.0002	410676	Stimulus	S 5
52.1042	0.0002	415681	Stimulus	S 5
52.4936	0.0002	417628	Response	R128
53.1082	0.0002	420701	Stimulus	S 5
54.1132	0.0002	425726	Stimulus	S 5
54.5936	0.0002	428128	Response	R128
55.1132	0.0002	430726	Stimulus	S 5
56.1132	0.0002	435726	Stimulus	S 5
56.6936	0.0002	438628	Response	R128
57.114	0.0002	440730	Stimulus	S 5
58.113	0.0002	445725	Stimulus	S 5
58.7936	0.0002	449128	Response	R128
59.113	0.0002	450725	Stimulus	S 5
60.1142	0.0002	455731	Stimulus	S 5
60.8936	0.0002	459628	Response	R128
61.1132	0.0002	460726	Stimulus	S 5
62.1162	0.0002	465741	Stimulus	S 5
