onset	duration	sample	type	marker_code
0	0.0002	424550	Response	R128
0	0.0002	435050	Response	R128
0	0.0002	435208	Stimulus	S 1
0.0024	0.0002	435220	Stimulus	S 10
0.005	0.0002	435233	Stimulus	S 11
0.007	0.0002	435243	Stimulus	S 12
1.008	0.0002	440248	Stimulus	S 11
2.0078	0.0002	445247	Stimulus	S 11
2.01	0.0002	445258	Stimulus	S 12
2.0684	0.0002	445550	Response	R128
3.0078	0.0002	450247	Stimulus	S 11
4.0078	0.0002	455247	Stimulus	S 11
4.0098	0.0002	455257	Stimulus	S 12
4.1684	0.0002	456050	Response	R128
5.0078	0.0002	460247	Stimulus	S 11
6.0076	0.0002	465246	Stimulus	S 11
6.0098	0.0002	465257	Stimulus	S 12
6.2684	0.0002	466550	Response	R128
7.0076	0.0002	470246	Stimulus	S 11
8.0076	0.0002	475246	Stimulus	S 11
8.0096	0.0002	475256	Stimulus	S 12
8.3684	0.0002	477050	Response	R128
9.0074	0.0002	480245	Stimulus	S 11
10.0074	0.0002	485245	Stimulus	S 11
10.0096	0.0002	485256	Stimulus	S 12
10.4684	0.0002	487550	Response	R128
11.0074	0.0002	490245	Stimulus	S 11
12.0072	0.0002	495244	Stimulus	S 11
12.0094	0.0002	495255	Stimulus	S 12
12.5684	0.0002	498050	Response	R128
13.0072	0.0002	500244	Stimulus	S 11
14.0072	0.0002	505244	Stimulus	S 11
14.0092	0.0002	505254	Stimulus	S 12
14.6684	0.0002	508550	Response	R128
15.0072	0.0002	510244	Stimulus	S 11
16.007	0.0002	515243	Stimulus	S 11
16.0092	0.0002	515254	Stimulus	S 12
16.7684	0.0002	519050	Response	R128
17.007	0.0002	520243	Stimulus	S 11
18.007	0.0002	525243	Stimulus	S 11
18.009	0.0002	525253	Stimulus	S 12
18.8684	0.0002	529550	Response	R128
19.007	0.0002	530243	Stimulus	S 11
20.007	0.0002	535243	Stimulus	S 25
20.0092	0.0002	535254	Stimulus	S 26
20.0112	0.0002	535264	Stimulus	S 27
20.9684	0.0002	540050	Response	R128
21.0068	0.0002	540242	Stimulus	S 26
22.0068	0.0002	545242	Stimulus	S 26
22.0088	0.0002	545252	Stimulus	S 27
23.0068	0.0002	550242	Stimulus	S 26
23.0684	0.0002	550550	Response	R128
24.0066	0.0002	555241	Stimulus	S 26
24.0088	0.0002	555252	Stimulus	S 27
25.0066	0.0002	560241	Stimulus	S 26
25.1684	0.0002	561050	Response	R128
26.0064	0.0002	565240	Stimulus	S 26
26.0086	0.0002	565251	Stimulus	S 27
27.0064	0.0002	570240	Stimulus	S 26
