onset	duration	sample	type	marker_code
0	0.0002	224935	Response	R128
0	0.0002	235435	Response	R128
0	0.0002	235601	Stimulus	S 1
0.0024	0.0002	235613	Stimulus	S 10
0.0046	0.0002	235624	Stimulus	S 11
0.0074	0.0002	235638	Stimulus	S 12
1.0096	0.0002	240649	Stimulus	S 11
2.0094	0.0002	245648	Stimulus	S 11
2.0116	0.0002	245659	Stimulus	S 12
2.0668	0.0002	245935	Response	R128
3.0094	0.0002	250648	Stimulus	S 11
4.0096	0.0002	255649	Stimulus	S 11
4.0126	0.0002	255664	Stimulus	S 12
4.1668	0.0002	256435	Response	R128
5.0094	0.0002	260648	Stimulus	S 11
6.0092	0.0002	265647	Stimulus	S 11
6.0114	0.0002	265658	Stimulus	S 12
6.2668	0.0002	266935	Response	R128
7.009	0.0002	270646	Stimulus	S 11
8.009	0.0002	275646	Stimulus	S 11
8.0114	0.0002	275658	Stimulus	S 12
8.3668	0.0002	277435	Response	R128
9.009	0.0002	280646	Stimulus	S 11
10.0088	0.0002	285645	Stimulus	S 11
10.011	0.0002	285656	Stimulus	S 12
10.4668	0.0002	287935	Response	R128
11.009	0.0002	290646	Stimulus	S 11
12.0088	0.0002	295645	Stimulus	S 11
12.011	0.0002	295656	Stimulus	S 12
12.5668	0.0002	298435	Response	R128
13.0088	0.0002	300645	Stimulus	S 11
14.0086	0.0002	305644	Stimulus	S 11
14.0108	0.0002	305655	Stimulus	S 12
14.6668	0.0002	308935	Response	R128
15.0086	0.0002	310644	Stimulus	S 11
16.0086	0.0002	315644	Stimulus	S 11
16.0108	0.0002	315655	Stimulus	S 12
16.7668	0.0002	319435	Response	R128
17.0086	0.0002	320644	Stimulus	S 11
18.0086	0.0002	325644	Stimulus	S 11
18.0106	0.0002	325654	Stimulus	S 12
18.8668	0.0002	329935	Response	R128
19.0084	0.0002	330643	Stimulus	S 11
20.0084	0.0002	335643	Stimulus	S 11
20.0104	0.0002	335653	Stimulus	S 12
20.0252	0.0002	335727	Stimulus	S 25
20.0274	0.0002	335738	Stimulus	S 26
20.0296	0.0002	335749	Stimulus	S 27
20.9668	0.0002	340435	Response	R128
21.025	0.0002	340726	Stimulus	S 26
22.025	0.0002	345726	Stimulus	S 26
22.0272	0.0002	345737	Stimulus	S 27
23.025	0.0002	350726	Stimulus	S 26
23.0668	0.0002	350935	Response	R128
24.0252	0.0002	355727	Stimulus	S 26
24.0278	0.0002	355740	Stimulus	S 27
25.0248	0.0002	360725	Stimulus	S 26
25.1668	0.0002	361435	Response	R128
26.0246	0.0002	365724	Stimulus	S 26
26.0268	0.0002	365735	Stimulus	S 27
27.0246	0.0002	370724	Stimulus	S 26
27.2668	0.0002	371935	Response	R128
28.0246	0.0002	375724	Stimulus	S 26
28.027	0.0002	375736	Stimulus	S 27
29.0244	0.0002	380723	Stimulus	S 26
29.3668	0.0002	382435	Response	R128
30.0244	0.0002	385723	Stimulus	S 26
30.0266	0.0002	385734	Stimulus	S 27
31.0244	0.0002	390723	Stimulus	S 26
31.4668	0.0002	392935	Response	R128
32.0244	0.0002	395723	Stimulus	S 26
32.0264	0.0002	395733	Stimulus	S 27
33.0244	0.0002	400723	Stimulus	S 26
33.5668	0.0002	403435	Response	R128
34.0244	0.0002	405723	Stimulus	S 26
34.0264	0.0002	405733	Stimulus	S 27
35.0242	0.0002	410722	Stimulus	S 26
35.6668	0.0002	413935	Response	R128
36.0242	0.0002	415722	Stimulus	S 26
36.0262	0.0002	415732	Stimulus	S 27
37.0242	0.0002	420722	Stimulus	S 26
37.7668	0.0002	424435	Response	R128
38.024	0.0002	425721	Stimulus	S 26
38.0262	0.0002	425732	Stimulus	S 27
39.024	0.0002	430721	Stimulus	S 26
39.8668	0.0002	434935	Response	R128
40.0238	0.0002	435720	Stimulus	S 26
40.026	0.0002	435731	Stimulus	S 27
40.0408	0.0002	435805	Stimulus	S 10
40.0434	0.0002	435818	Stimulus	S 11
40.0454	0.0002	435828	Stimulus	S 12
41.0406	0.0002	440804	Stimulus	S 11
41.9668	0.0002	445435	Response	R128
42.0404	0.0002	445803	Stimulus	S 11
42.0426	0.0002	445814	Stimulus	S 12
43.0404	0.0002	450803	Stimulus	S 11
44.0404	0.0002	455803	Stimulus	S 11
44.0426	0.0002	455814	Stimulus	S 12
44.0668	0.0002	455935	Response	R128
45.0404	0.0002	460803	Stimulus	S 11
46.0402	0.0002	465802	Stimulus	S 11
46.0424	0.0002	465813	Stimulus	S 12
46.1668	0.0002	466435	Response	R128
47.0402	0.0002	470802	Stimulus	S 11
48.04	0.0002	475801	Stimulus	S 11
48.0422	0.0002	475812	Stimulus	S 12
48.2668	0.0002	476935	Response	R128
49.04	0.0002	480801	Stimulus	S 11
50.04	0.0002	485801	Stimulus	S 11
50.0422	0.0002	485812	Stimulus	S 12
50.3668	0.0002	487435	Response	R128
51.04	0.0002	490801	Stimulus	S 11
52.04	0.0002	495801	Stimulus	S 11
52.0422	0.0002	495812	Stimulus	S 12
52.4668	0.0002	497935	Response	R128
53.04	0.0002	500801	Stimulus	S 11
54.0398	0.0002	505800	Stimulus	S 11
54.0418	0.0002	505810	Stimulus	S 12
54.5668	0.0002	508435	Response	R128
55.0398	0.0002	510800	Stimulus	S 11
56.0396	0.0002	515799	Stimulus	S 11
56.0418	0.0002	515810	Stimulus	S 12
56.6668	0.0002	518935	Response	R128
57.0396	0.0002	520799	Stimulus	S 11
58.0396	0.0002	525799	Stimulus	S 11
58.0416	0.0002	525809	Stimulus	S 12
58.7668	0.0002	529435	Response	R128
59.0396	0.0002	530799	Stimulus	S 11
60.0394	0.0002	535798	Stimulus	S 11
60.0416	0.0002	535809	Stimulus	S 12
60.0564	0.0002	535883	Stimulus	S 25
60.0592	0.0002	535897	Stimulus	S 26
60.0612	0.0002	535907	Stimulus	S 27
60.8668	0.0002	539935	Response	R128
61.056	0.0002	540881	Stimulus	S 26
62.056	0.0002	545881	Stimulus	S 26
62.0582	0.0002	545892	Stimulus	S 27
62.9668	0.0002	550435	Response	R128
63.056	0.0002	550881	Stimulus	S 26
64.0558	0.0002	555880	Stimulus	S 26
64.058	0.0002	555891	Stimulus	S 27
65.0558	0.0002	560880	Stimulus	S 26
65.0668	0.0002	560935	Response	R128
66.0558	0.0002	565880	Stimulus	S 26
66.0578	0.0002	565890	Stimulus	S 27
67.0558	0.0002	570880	Stimulus	S 26
67.1668	0.0002	571435	Response	R128
68.0556	0.0002	575879	Stimulus	S 26
68.0578	0.0002	575890	Stimulus	S 27
69.0556	0.0002	580879	Stimulus	S 26
69.2668	0.0002	581935	Response	R128
70.0556	0.0002	585879	Stimulus	S 26
70.0576	0.0002	585889	Stimulus	S 27
71.0556	0.0002	590879	Stimulus	S 26
71.3668	0.0002	592435	Response	R128
72.0554	0.0002	595878	Stimulus	S 26
72.0576	0.0002	595889	Stimulus	S 27
73.0554	0.0002	600878	Stimulus	S 26
73.4668	0.0002	602935	Response	R128
74.0552	0.0002	605877	Stimulus	S 26
74.0574	0.0002	605888	Stimulus	S 27
75.0552	0.0002	610877	Stimulus	S 26
75.5668	0.0002	613435	Response	R128
76.0552	0.0002	615877	Stimulus	S 26
76.0572	0.0002	615887	Stimulus	S 27
77.0552	0.0002	620877	Stimulus	S 26
77.6668	0.0002	623935	Response	R128
78.055	0.0002	625876	Stimulus	S 26
78.0572	0.0002	625887	Stimulus	S 27
79.055	0.0002	630876	Stimulus	S 26
79.7668	0.0002	634435	Response	R128
80.055	0.0002	635876	Stimulus	S 26
80.057	0.0002	635886	Stimulus	S 27
80.0718	0.0002	635960	Stimulus	S 10
80.0738	0.0002	635970	Stimulus	S 11
80.076	0.0002	635981	Stimulus	S 12
81.0716	0.0002	640959	Stimulus	S 11
81.8668	0.0002	644935	Response	R128
82.0716	0.0002	645959	Stimulus	S 11
82.0738	0.0002	645970	Stimulus	S 12
83.0716	0.0002	650959	Stimulus	S 11
83.9668	0.0002	655435	Response	R128
84.0714	0.0002	655958	Stimulus	S 11
84.0736	0.0002	655969	Stimulus	S 12
85.0714	0.0002	660958	Stimulus	S 11
86.0668	0.0002	665935	Response	R128
86.0712	0.0002	665957	Stimulus	S 11
86.0734	0.0002	665968	Stimulus	S 12
87.0714	0.0002	670958	Stimulus	S 11
88.0712	0.0002	675957	Stimulus	S 11
88.0732	0.0002	675967	Stimulus	S 12
88.1668	0.0002	676435	Response	R128
89.0712	0.0002	680957	Stimulus	S 11
90.0712	0.0002	685957	Stimulus	S 11
90.0732	0.0002	685967	Stimulus	S 12
90.2668	0.0002	686935	Response	R128
91.071	0.0002	690956	Stimulus	S 11
92.071	0.0002	695956	Stimulus	S 11
92.0732	0.0002	695967	Stimulus	S 12
92.3668	0.0002	697435	Response	R128
93.071	0.0002	700956	Stimulus	S 11
94.0708	0.0002	705955	Stimulus	S 11
94.073	0.0002	705966	Stimulus	S 12
94.4668	0.0002	707935	Response	R128
95.0708	0.0002	710955	Stimulus	S 11
96.0708	0.0002	715955	Stimulus	S 11
96.0728	0.0002	715965	Stimulus	S 12
96.5668	0.0002	718435	Response	R128
97.0708	0.0002	720955	Stimulus	S 11
98.0706	0.0002	725954	Stimulus	S 11
98.0728	0.0002	725965	Stimulus	S 12
98.6668	0.0002	728935	Response	R128
99.0706	0.0002	730954	Stimulus	S 11
100.0706	0.0002	735954	Stimulus	S 11
100.0726	0.0002	735964	Stimulus	S 12
100.0874	0.0002	736038	Stimulus	S 25
100.0894	0.0002	736048	Stimulus	S 26
