onset	duration	sample	type	marker_code
0	0.0002	83973	Response	R128
0	0.0002	94473	Response	R128
0	0.0002	94647	Stimulus	S 1
1.0564	0.0002	99929	Stimulus	S 5
2.0594	0.0002	104944	Stimulus	S 5
2.0652	0.0002	104973	Response	R128
3.0614	0.0002	109954	Stimulus	S 5
4.0658	0.0002	114976	Stimulus	S 5
4.1652	0.0002	115473	Response	R128
5.0656	0.0002	119975	Stimulus	S 5
6.0656	0.0002	124975	Stimulus	S 5
6.2652	0.0002	125973	Response	R128
7.0656	0.0002	129975	Stimulus	S 5
8.0664	0.0002	134979	Stimulus	S 5
8.3652	0.0002	136473	Response	R128
9.0664	0.0002	139979	Stimulus	S 5
10.0664	0.0002	144979	Stimulus	S 5
10.4652	0.0002	146973	Response	R128
11.0664	0.0002	149979	Stimulus	S 5
12.0706	0.0002	155000	Stimulus	S 5
12.5652	0.0002	157473	Response	R128
13.0696	0.0002	159995	Stimulus	S 5
14.0704	0.0002	164999	Stimulus	S 5
14.6652	0.0002	167973	Response	R128
15.0746	0.0002	170020	Stimulus	S 5
16.0664	0.0002	174979	Stimulus	S 5
16.7652	0.0002	178473	Response	R128
17.076	0.0002	180027	Stimulus	S 5
18.0764	0.0002	185029	Stimulus	S 5
18.8652	0.0002	188973	Response	R128
19.0766	0.0002	190030	Stimulus	S 5
20.0814	0.0002	195054	Stimulus	S 5
20.9652	0.0002	199473	Response	R128
21.0814	0.0002	200054	Stimulus	S 5
22.0812	0.0002	205053	Stimulus	S 5
23.0652	0.0002	209973	Response	R128
23.0812	0.0002	210053	Stimulus	S 5
24.0816	0.0002	215055	Stimulus	S 5
25.0836	0.0002	220065	Stimulus	S 5
25.1652	0.0002	220473	Response	R128
26.081	0.0002	225052	Stimulus	S 5
27.086	0.0002	230077	Stimulus	S 5
27.2652	0.0002	230973	Response	R128
28.0866	0.0002	235080	Stimulus	S 5
29.0866	0.0002	240080	Stimulus	S 5
29.3652	0.0002	241473	Response	R128
