onset	duration	sample	type	marker_code
0	0.0002	266872	Response	R128
0	0.0002	277372	Response	R128
0	0.0002	277527	Stimulus	S 1
1.0518	0.0002	282786	Stimulus	S 5
2.0518	0.0002	287786	Stimulus	S 5
2.069	0.0002	287872	Response	R128
3.0518	0.0002	292786	Stimulus	S 5
4.0528	0.0002	297791	Stimulus	S 5
4.169	0.0002	298372	Response	R128
5.0558	0.0002	302806	Stimulus	S 5
6.0496	0.0002	307775	Stimulus	S 5
6.269	0.0002	308872	Response	R128
7.0584	0.0002	312819	Stimulus	S 5
8.0588	0.0002	317821	Stimulus	S 5
8.369	0.0002	319372	Response	R128
9.0602	0.0002	322828	Stimulus	S 5
10.059	0.0002	327822	Stimulus	S 5
10.469	0.0002	329872	Response	R128
11.062	0.0002	332837	Stimulus	S 5
12.0652	0.0002	337853	Stimulus	S 5
12.569	0.0002	340372	Response	R128
13.0652	0.0002	342853	Stimulus	S 5
14.0652	0.0002	347853	Stimulus	S 5
14.669	0.0002	350872	Response	R128
15.066	0.0002	352857	Stimulus	S 5
16.065	0.0002	357852	Stimulus	S 5
16.769	0.0002	361372	Response	R128
17.0684	0.0002	362869	Stimulus	S 5
18.069	0.0002	367872	Stimulus	S 5
18.869	0.0002	371872	Response	R128
19.069	0.0002	372872	Stimulus	S 5
20.069	0.0002	377872	Stimulus	S 5
20.969	0.0002	382372	Response	R128
21.072	0.0002	382887	Stimulus	S 5
22.072	0.0002	387887	Stimulus	S 5
23.069	0.0002	392872	Response	R128
23.073	0.0002	392892	Stimulus	S 5
24.073	0.0002	397892	Stimulus	S 5
25.076	0.0002	402907	Stimulus	S 5
25.169	0.0002	403372	Response	R128
26.081	0.0002	407932	Stimulus	S 5
27.081	0.0002	412932	Stimulus	S 5
27.269	0.0002	413872	Response	R128
28.0808	0.0002	417931	Stimulus	S 5
29.0808	0.0002	422931	Stimulus	S 5
29.369	0.0002	424372	Response	R128
30.0808	0.0002	427931	Stimulus	S 5
31.082	0.0002	432937	Stimulus	S 5
31.469	0.0002	434872	Response	R128
32.082	0.0002	437937	Stimulus	S 5
33.0822	0.0002	442938	Stimulus	S 5
33.569	0.0002	445372	Response	R128
34.0832	0.0002	447943	Stimulus	S 5
35.086	0.0002	452957	Stimulus	S 5
35.669	0.0002	455872	Response	R128
36.0804	0.0002	457929	Stimulus	S 5
37.0898	0.0002	462976	Stimulus	S 5
37.769	0.0002	466372	Response	R128
38.0892	0.0002	467973	Stimulus	S 5
39.0892	0.0002	472973	Stimulus	S 5
39.869	0.0002	476872	Response	R128
40.0902	0.0002	477978	Stimulus	S 5
41.0892	0.0002	482973	Stimulus	S 5
41.969	0.0002	487372	Response	R128
42.0922	0.0002	487988	Stimulus	S 5
43.0966	0.0002	493010	Stimulus	S 5
44.069	0.0002	497872	Response	R128
44.0966	0.0002	498010	Stimulus	S 5
45.0974	0.0002	503014	Stimulus	S 5
46.0964	0.0002	508009	Stimulus	S 5
