onset	duration	sample	type	marker_code
0	0.0002	522052	Response	R128
0	0.0002	532552	Response	R128
0	0.0002	532753	Stimulus	S 1
2.0598	0.0002	543052	Response	R128
2.2918	0.0002	544212	Stimulus	S 5
3.2888	0.0002	549197	Stimulus	S 5
4.1598	0.0002	553552	Response	R128
4.2922	0.0002	554214	Stimulus	S 5
5.2978	0.0002	559242	Stimulus	S 5
6.2598	0.0002	564052	Response	R128
6.2978	0.0002	564242	Stimulus	S 5
7.2974	0.0002	569240	Stimulus	S 5
8.2972	0.0002	574239	Stimulus	S 5
8.3598	0.0002	574552	Response	R128
9.2988	0.0002	579247	Stimulus	S 5
10.2998	0.0002	584252	Stimulus	S 5
10.4598	0.0002	585052	Response	R128
11.2998	0.0002	589252	Stimulus	S 5
12.2978	0.0002	594242	Stimulus	S 5
12.5598	0.0002	595552	Response	R128
13.2988	0.0002	599247	Stimulus	S 5
14.3018	0.0002	604262	Stimulus	S 5
14.6598	0.0002	606052	Response	R128
15.3018	0.0002	609262	Stimulus	S 5
16.3048	0.0002	614277	Stimulus	S 5
16.7598	0.0002	616552	Response	R128
17.2978	0.0002	619242	Stimulus	S 5
18.3076	0.0002	624291	Stimulus	S 5
18.8598	0.0002	627052	Response	R128
19.3078	0.0002	629292	Stimulus	S 5
20.308	0.0002	634293	Stimulus	S 5
20.9598	0.0002	637552	Response	R128
21.313	0.0002	639318	Stimulus	S 5
22.313	0.0002	644318	Stimulus	S 5
23.0598	0.0002	648052	Response	R128
23.313	0.0002	649318	Stimulus	S 5
24.313	0.0002	654318	Stimulus	S 5
25.1598	0.0002	658552	Response	R128
25.313	0.0002	659318	Stimulus	S 5
26.3148	0.0002	664327	Stimulus	S 5
27.2598	0.0002	669052	Response	R128
27.3128	0.0002	669317	Stimulus	S 5
28.3176	0.0002	674341	Stimulus	S 5
29.319	0.0002	679348	Stimulus	S 5
29.3598	0.0002	679552	Response	R128
30.32	0.0002	684353	Stimulus	S 5
31.319	0.0002	689348	Stimulus	S 5
31.4598	0.0002	690052	Response	R128
32.318	0.0002	694343	Stimulus	S 5
33.321	0.0002	699358	Stimulus	S 5
33.5598	0.0002	700552	Response	R128
34.321	0.0002	704358	Stimulus	S 5
35.324	0.0002	709373	Stimulus	S 5
35.6598	0.0002	711052	Response	R128
36.329	0.0002	714398	Stimulus	S 5
37.3288	0.0002	719397	Stimulus	S 5
37.7598	0.0002	721552	Response	R128
38.329	0.0002	724398	Stimulus	S 5
39.329	0.0002	729398	Stimulus	S 5
39.8598	0.0002	732052	Response	R128
40.33	0.0002	734403	Stimulus	S 5
41.329	0.0002	739398	Stimulus	S 5
41.9598	0.0002	742552	Response	R128
42.332	0.0002	744413	Stimulus	S 5
43.331	0.0002	749408	Stimulus	S 5
44.0598	0.0002	753052	Response	R128
44.3322	0.0002	754414	Stimulus	S 5
45.332	0.0002	759413	Stimulus	S 5
46.1598	0.0002	763552	Response	R128
46.3352	0.0002	764429	Stimulus	S 5
47.3292	0.0002	769399	Stimulus	S 5
48.2598	0.0002	774052	Response	R128
48.3384	0.0002	774445	Stimulus	S 5
49.3392	0.0002	779449	Stimulus	S 5
50.3402	0.0002	784454	Stimulus	S 5
50.3598	0.0002	784552	Response	R128
51.3446	0.0002	789476	Stimulus	S 5
52.3444	0.0002	794475	Stimulus	S 5
52.4598	0.0002	795052	Response	R128
53.3444	0.0002	799475	Stimulus	S 5
54.3444	0.0002	804475	Stimulus	S 5
54.5598	0.0002	805552	Response	R128
55.3442	0.0002	809474	Stimulus	S 5
56.3444	0.0002	814475	Stimulus	S 5
56.6598	0.0002	816052	Response	R128
57.3442	0.0002	819474	Stimulus	S 5
58.3484	0.0002	824495	Stimulus	S 5
58.7598	0.0002	826552	Response	R128
59.3482	0.0002	829494	Stimulus	S 5
60.3492	0.0002	834499	Stimulus	S 5
60.8598	0.0002	837052	Response	R128
61.3494	0.0002	839500	Stimulus	S 5
62.3484	0.0002	844495	Stimulus	S 5
62.9598	0.0002	847552	Response	R128
63.3512	0.0002	849509	Stimulus	S 5
64.3514	0.0002	854510	Stimulus	S 5
65.0598	0.0002	858052	Response	R128
65.3522	0.0002	859514	Stimulus	S 5
66.3554	0.0002	864530	Stimulus	S 5
67.1598	0.0002	868552	Response	R128
