onset	duration	sample	type	marker_code
0	0.0002	58811	Response	R128
0	0.0002	69311	Response	R128
0	0.0002	69529	Stimulus	S 1
0.0022	0.0002	69540	Stimulus	S 5
0.9988	0.0002	74523	Stimulus	S 5
1.9986	0.0002	79522	Stimulus	S 5
2.0564	0.0002	79811	Response	R128
2.9986	0.0002	84522	Stimulus	S 5
3.9988	0.0002	89523	Stimulus	S 5
4.1564	0.0002	90311	Response	R128
4.9984	0.0002	94521	Stimulus	S 5
5.9982	0.0002	99520	Stimulus	S 5
6.2564	0.0002	100811	Response	R128
6.9982	0.0002	104520	Stimulus	S 5
7.9982	0.0002	109520	Stimulus	S 5
8.3564	0.0002	111311	Response	R128
8.998	0.0002	114519	Stimulus	S 5
9.998	0.0002	119519	Stimulus	S 5
10.4564	0.0002	121811	Response	R128
10.998	0.0002	124519	Stimulus	S 5
11.9978	0.0002	129518	Stimulus	S 5
12.5564	0.0002	132311	Response	R128
12.9978	0.0002	134518	Stimulus	S 5
13.9978	0.0002	139518	Stimulus	S 5
14.6564	0.0002	142811	Response	R128
14.9978	0.0002	144518	Stimulus	S 5
15.9976	0.0002	149517	Stimulus	S 5
16.7564	0.0002	153311	Response	R128
16.9976	0.0002	154517	Stimulus	S 5
17.9974	0.0002	159516	Stimulus	S 5
18.8564	0.0002	163811	Response	R128
18.9974	0.0002	164516	Stimulus	S 5
19.9974	0.0002	169516	Stimulus	S 5
20.9564	0.0002	174311	Response	R128
20.9974	0.0002	174516	Stimulus	S 5
21.9974	0.0002	179516	Stimulus	S 5
22.9972	0.0002	184515	Stimulus	S 5
23.0564	0.0002	184811	Response	R128
23.9972	0.0002	189515	Stimulus	S 5
24.9972	0.0002	194515	Stimulus	S 5
25.1564	0.0002	195311	Response	R128
25.997	0.0002	199514	Stimulus	S 5
26.997	0.0002	204514	Stimulus	S 5
27.2564	0.0002	205811	Response	R128
27.997	0.0002	209514	Stimulus	S 5
28.9968	0.0002	214513	Stimulus	S 5
29.3564	0.0002	216311	Response	R128
29.9968	0.0002	219513	Stimulus	S 5
30.9968	0.0002	224513	Stimulus	S 5
31.4564	0.0002	226811	Response	R128
31.9966	0.0002	229512	Stimulus	S 5
32.9966	0.0002	234512	Stimulus	S 5
33.5564	0.0002	237311	Response	R128
33.9964	0.0002	239511	Stimulus	S 5
34.9964	0.0002	244511	Stimulus	S 5
35.6564	0.0002	247811	Response	R128
35.9964	0.0002	249511	Stimulus	S 5
36.9964	0.0002	254511	Stimulus	S 5
37.7564	0.0002	258311	Response	R128
37.9962	0.0002	259510	Stimulus	S 5
38.9962	0.0002	264510	Stimulus	S 5
39.8564	0.0002	268811	Response	R128
39.9962	0.0002	269510	Stimulus	S 5
40.9962	0.0002	274510	Stimulus	S 5
41.9564	0.0002	279311	Response	R128
41.996	0.0002	279509	Stimulus	S 5
42.996	0.0002	284509	Stimulus	S 5
43.996	0.0002	289509	Stimulus	S 5
44.0564	0.0002	289811	Response	R128
44.9958	0.0002	294508	Stimulus	S 5
45.9958	0.0002	299508	Stimulus	S 5
46.1564	0.0002	300311	Response	R128
46.9956	0.0002	304507	Stimulus	S 5
47.9956	0.0002	309507	Stimulus	S 5
48.2564	0.0002	310811	Response	R128
48.9956	0.0002	314507	Stimulus	S 5
49.9956	0.0002	319507	Stimulus	S 5
50.3564	0.0002	321311	Response	R128
50.9954	0.0002	324506	Stimulus	S 5
51.9954	0.0002	329506	Stimulus	S 5
52.4564	0.0002	331811	Response	R128
52.9954	0.0002	334506	Stimulus	S 5
53.9952	0.0002	339505	Stimulus	S 5
54.5564	0.0002	342311	Response	R128
54.9952	0.0002	344505	Stimulus	S 5
55.9952	0.0002	349505	Stimulus	S 5
56.6564	0.0002	352811	Response	R128
56.9952	0.0002	354505	Stimulus	S 5
57.995	0.0002	359504	Stimulus	S 5
58.7564	0.0002	363311	Response	R128
58.995	0.0002	364504	Stimulus	S 5
59.995	0.0002	369504	Stimulus	S 5
60.8564	0.0002	373811	Response	R128
60.9948	0.0002	374503	Stimulus	S 5
61.9948	0.0002	379503	Stimulus	S 5
62.9564	0.0002	384311	Response	R128
62.9948	0.0002	384503	Stimulus	S 5
63.9946	0.0002	389502	Stimulus	S 5
64.9946	0.0002	394502	Stimulus	S 5
65.0564	0.0002	394811	Response	R128
65.9946	0.0002	399502	Stimulus	S 5
66.9946	0.0002	404502	Stimulus	S 5
67.1564	0.0002	405311	Response	R128
67.9944	0.0002	409501	Stimulus	S 5
68.9944	0.0002	414501	Stimulus	S 5
69.2564	0.0002	415811	Response	R128
69.9944	0.0002	419501	Stimulus	S 5
70.9942	0.0002	424500	Stimulus	S 5
71.3564	0.0002	426311	Response	R128
71.9942	0.0002	429500	Stimulus	S 5
72.9942	0.0002	434500	Stimulus	S 5
73.4564	0.0002	436811	Response	R128
73.9942	0.0002	439500	Stimulus	S 5
74.994	0.0002	444499	Stimulus	S 5
75.5564	0.0002	447311	Response	R128
75.994	0.0002	449499	Stimulus	S 5
76.9938	0.0002	454498	Stimulus	S 5
77.6564	0.0002	457811	Response	R128
77.9938	0.0002	459498	Stimulus	S 5
78.9938	0.0002	464498	Stimulus	S 5
79.7564	0.0002	468311	Response	R128
79.9936	0.0002	469497	Stimulus	S 5
80.9936	0.0002	474497	Stimulus	S 5
81.8564	0.0002	478811	Response	R128
81.9936	0.0002	479497	Stimulus	S 5
82.9934	0.0002	484496	Stimulus	S 5
83.9564	0.0002	489311	Response	R128
83.9934	0.0002	489496	Stimulus	S 5
84.9934	0.0002	494496	Stimulus	S 5
85.9934	0.0002	499496	Stimulus	S 5
86.0564	0.0002	499811	Response	R128
86.9934	0.0002	504496	Stimulus	S 5
87.9932	0.0002	509495	Stimulus	S 5
88.1564	0.0002	510311	Response	R128
88.9932	0.0002	514495	Stimulus	S 5
89.993	0.0002	519494	Stimulus	S 5
90.2564	0.0002	520811	Response	R128
90.993	0.0002	524494	Stimulus	S 5
91.993	0.0002	529494	Stimulus	S 5
92.3564	0.0002	531311	Response	R128
92.9928	0.0002	534493	Stimulus	S 5
93.9928	0.0002	539493	Stimulus	S 5
94.4564	0.0002	541811	Response	R128
94.9928	0.0002	544493	Stimulus	S 5
95.9926	0.0002	549492	Stimulus	S 5
96.5564	0.0002	552311	Response	R128
96.9926	0.0002	554492	Stimulus	S 5
97.9926	0.0002	559492	Stimulus	S 5
98.6564	0.0002	562811	Response	R128
98.9926	0.0002	564492	Stimulus	S 5
99.9924	0.0002	569491	Stimulus	S 5
100.7564	0.0002	573311	Response	R128
100.9924	0.0002	574491	Stimulus	S 5
101.9924	0.0002	579491	Stimulus	S 5
102.8564	0.0002	583811	Response	R128
102.9922	0.0002	584490	Stimulus	S 5
103.9922	0.0002	589490	Stimulus	S 5
104.9564	0.0002	594311	Response	R128
104.9922	0.0002	594490	Stimulus	S 5
105.9922	0.0002	599490	Stimulus	S 5
106.992	0.0002	604489	Stimulus	S 5
107.0564	0.0002	604811	Response	R128
107.992	0.0002	609489	Stimulus	S 5
108.9918	0.0002	614488	Stimulus	S 5
109.1564	0.0002	615311	Response	R128
109.9918	0.0002	619488	Stimulus	S 5
110.9918	0.0002	624488	Stimulus	S 5
111.2564	0.0002	625811	Response	R128
111.9918	0.0002	629488	Stimulus	S 5
112.9916	0.0002	634487	Stimulus	S 5
113.3564	0.0002	636311	Response	R128
113.9916	0.0002	639487	Stimulus	S 5
114.9916	0.0002	644487	Stimulus	S 5
115.4564	0.0002	646811	Response	R128
115.9914	0.0002	649486	Stimulus	S 5
116.9914	0.0002	654486	Stimulus	S 5
117.5564	0.0002	657311	Response	R128
117.9914	0.0002	659486	Stimulus	S 5
118.9914	0.0002	664486	Stimulus	S 5
119.6564	0.0002	667811	Response	R128
119.9912	0.0002	669485	Stimulus	S 5
120.9912	0.0002	674485	Stimulus	S 5
121.7564	0.0002	678311	Response	R128
121.9912	0.0002	679485	Stimulus	S 5
122.991	0.0002	684484	Stimulus	S 5
123.8564	0.0002	688811	Response	R128
123.991	0.0002	689484	Stimulus	S 5
124.991	0.0002	694484	Stimulus	S 5
125.9564	0.0002	699311	Response	R128
125.9908	0.0002	699483	Stimulus	S 5
126.9908	0.0002	704483	Stimulus	S 5
127.9908	0.0002	709483	Stimulus	S 5
128.0564	0.0002	709811	Response	R128
128.9906	0.0002	714482	Stimulus	S 5
129.9906	0.0002	719482	Stimulus	S 5
130.1564	0.0002	720311	Response	R128
130.9906	0.0002	724482	Stimulus	S 5
131.9904	0.0002	729481	Stimulus	S 5
132.2564	0.0002	730811	Response	R128
132.9904	0.0002	734481	Stimulus	S 5
133.9904	0.0002	739481	Stimulus	S 5
134.3564	0.0002	741311	Response	R128
134.9904	0.0002	744481	Stimulus	S 5
135.9902	0.0002	749480	Stimulus	S 5
136.4564	0.0002	751811	Response	R128
136.9902	0.0002	754480	Stimulus	S 5
137.9902	0.0002	759480	Stimulus	S 5
138.5564	0.0002	762311	Response	R128
138.99	0.0002	764479	Stimulus	S 5
139.99	0.0002	769479	Stimulus	S 5
140.6564	0.0002	772811	Response	R128
140.99	0.0002	774479	Stimulus	S 5
141.99	0.0002	779479	Stimulus	S 5
142.7564	0.0002	783311	Response	R128
142.9898	0.0002	784478	Stimulus	S 5
143.9898	0.0002	789478	Stimulus	S 5
144.8564	0.0002	793811	Response	R128
144.9896	0.0002	794477	Stimulus	S 5
145.9896	0.0002	799477	Stimulus	S 5
146.9564	0.0002	804311	Response	R128
146.9896	0.0002	804477	Stimulus	S 5
147.9896	0.0002	809477	Stimulus	S 5
148.9894	0.0002	814476	Stimulus	S 5
149.0564	0.0002	814811	Response	R128
149.9894	0.0002	819476	Stimulus	S 5
150.9894	0.0002	824476	Stimulus	S 5
151.1564	0.0002	825311	Response	R128
151.9892	0.0002	829475	Stimulus	S 5
152.9892	0.0002	834475	Stimulus	S 5
153.2564	0.0002	835811	Response	R128
153.9892	0.0002	839475	Stimulus	S 5
154.989	0.0002	844474	Stimulus	S 5
155.3564	0.0002	846311	Response	R128
