onset	duration	sample	type	marker_code
0	0.0002	59513	Response	R128
0	0.0002	70013	Response	R128
0	0.0002	70253	Stimulus	S 1
0.0022	0.0002	70264	Stimulus	S 5
0.999	0.0002	75248	Stimulus	S 5
1.9988	0.0002	80247	Stimulus	S 5
2.052	0.0002	80513	Response	R128
2.9986	0.0002	85246	Stimulus	S 5
3.999	0.0002	90248	Stimulus	S 5
4.152	0.0002	91013	Response	R128
4.9984	0.0002	95245	Stimulus	S 5
5.9984	0.0002	100245	Stimulus	S 5
6.252	0.0002	101513	Response	R128
6.9982	0.0002	105244	Stimulus	S 5
7.9982	0.0002	110244	Stimulus	S 5
8.352	0.0002	112013	Response	R128
8.9982	0.0002	115244	Stimulus	S 5
9.9982	0.0002	120244	Stimulus	S 5
10.452	0.0002	122513	Response	R128
10.9982	0.0002	125244	Stimulus	S 5
11.998	0.0002	130243	Stimulus	S 5
12.552	0.0002	133013	Response	R128
12.998	0.0002	135243	Stimulus	S 5
13.998	0.0002	140243	Stimulus	S 5
14.652	0.0002	143513	Response	R128
14.9978	0.0002	145242	Stimulus	S 5
15.9978	0.0002	150242	Stimulus	S 5
16.752	0.0002	154013	Response	R128
16.9978	0.0002	155242	Stimulus	S 5
17.9978	0.0002	160242	Stimulus	S 5
18.852	0.0002	164513	Response	R128
18.9976	0.0002	165241	Stimulus	S 5
19.9976	0.0002	170241	Stimulus	S 5
20.952	0.0002	175013	Response	R128
20.9974	0.0002	175240	Stimulus	S 5
21.9974	0.0002	180240	Stimulus	S 5
22.9974	0.0002	185240	Stimulus	S 5
23.052	0.0002	185513	Response	R128
23.9974	0.0002	190240	Stimulus	S 5
24.9974	0.0002	195240	Stimulus	S 5
25.152	0.0002	196013	Response	R128
25.9972	0.0002	200239	Stimulus	S 5
26.9972	0.0002	205239	Stimulus	S 5
27.252	0.0002	206513	Response	R128
27.9972	0.0002	210239	Stimulus	S 5
28.997	0.0002	215238	Stimulus	S 5
29.352	0.0002	217013	Response	R128
29.997	0.0002	220238	Stimulus	S 5
30.997	0.0002	225238	Stimulus	S 5
31.452	0.0002	227513	Response	R128
31.9968	0.0002	230237	Stimulus	S 5
32.9968	0.0002	235237	Stimulus	S 5
33.552	0.0002	238013	Response	R128
33.9968	0.0002	240237	Stimulus	S 5
34.9966	0.0002	245236	Stimulus	S 5
35.652	0.0002	248513	Response	R128
35.9966	0.0002	250236	Stimulus	S 5
36.9966	0.0002	255236	Stimulus	S 5
37.752	0.0002	259013	Response	R128
37.9966	0.0002	260236	Stimulus	S 5
38.9964	0.0002	265235	Stimulus	S 5
39.852	0.0002	269513	Response	R128
39.9966	0.0002	270236	Stimulus	S 5
40.9964	0.0002	275235	Stimulus	S 5
41.952	0.0002	280013	Response	R128
41.9964	0.0002	280235	Stimulus	S 5
42.9962	0.0002	285234	Stimulus	S 5
43.9962	0.0002	290234	Stimulus	S 5
44.052	0.0002	290513	Response	R128
44.9962	0.0002	295234	Stimulus	S 5
45.996	0.0002	300233	Stimulus	S 5
46.152	0.0002	301013	Response	R128
46.996	0.0002	305233	Stimulus	S 5
47.996	0.0002	310233	Stimulus	S 5
48.252	0.0002	311513	Response	R128
48.996	0.0002	315233	Stimulus	S 5
49.996	0.0002	320233	Stimulus	S 5
50.352	0.0002	322013	Response	R128
50.9958	0.0002	325232	Stimulus	S 5
51.9958	0.0002	330232	Stimulus	S 5
52.452	0.0002	332513	Response	R128
52.9958	0.0002	335232	Stimulus	S 5
53.9956	0.0002	340231	Stimulus	S 5
54.552	0.0002	343013	Response	R128
54.9956	0.0002	345231	Stimulus	S 5
55.9956	0.0002	350231	Stimulus	S 5
56.652	0.0002	353513	Response	R128
56.9956	0.0002	355231	Stimulus	S 5
57.9954	0.0002	360230	Stimulus	S 5
58.752	0.0002	364013	Response	R128
58.9954	0.0002	365230	Stimulus	S 5
59.9954	0.0002	370230	Stimulus	S 5
60.852	0.0002	374513	Response	R128
60.9952	0.0002	375229	Stimulus	S 5
61.9952	0.0002	380229	Stimulus	S 5
62.952	0.0002	385013	Response	R128
