onset	duration	sample	type	marker_code
0	0.0002	90813	Response	R128
0	0.0002	101313	Response	R128
0	0.0002	101570	Stimulus	S 1
1.1862	0.0002	107501	Stimulus	S 5
2.0486	0.0002	111813	Response	R128
2.1862	0.0002	112501	Stimulus	S 5
3.1896	0.0002	117518	Stimulus	S 5
4.1486	0.0002	122313	Response	R128
4.1884	0.0002	122512	Stimulus	S 5
5.1904	0.0002	127522	Stimulus	S 5
6.1832	0.0002	132486	Stimulus	S 5
6.2486	0.0002	132813	Response	R128
7.1932	0.0002	137536	Stimulus	S 5
8.1972	0.0002	142556	Stimulus	S 5
8.3486	0.0002	143313	Response	R128
9.1972	0.0002	147556	Stimulus	S 5
10.1972	0.0002	152556	Stimulus	S 5
10.4486	0.0002	153813	Response	R128
11.1972	0.0002	157556	Stimulus	S 5
12.197	0.0002	162555	Stimulus	S 5
12.5486	0.0002	164313	Response	R128
13.1972	0.0002	167556	Stimulus	S 5
14.1982	0.0002	172561	Stimulus	S 5
14.6486	0.0002	174813	Response	R128
15.2002	0.0002	177571	Stimulus	S 5
16.1968	0.0002	182554	Stimulus	S 5
16.7486	0.0002	185313	Response	R128
17.203	0.0002	187585	Stimulus	S 5
18.2032	0.0002	192586	Stimulus	S 5
18.8486	0.0002	195813	Response	R128
19.2032	0.0002	197586	Stimulus	S 5
20.2042	0.0002	202591	Stimulus	S 5
20.9486	0.0002	206313	Response	R128
21.2062	0.0002	207601	Stimulus	S 5
22.2072	0.0002	212606	Stimulus	S 5
23.0486	0.0002	216813	Response	R128
23.2082	0.0002	217611	Stimulus	S 5
24.213	0.0002	222635	Stimulus	S 5
25.1486	0.0002	227313	Response	R128
25.213	0.0002	227635	Stimulus	S 5
26.213	0.0002	232635	Stimulus	S 5
27.213	0.0002	237635	Stimulus	S 5
27.2486	0.0002	237813	Response	R128
28.2134	0.0002	242637	Stimulus	S 5
29.2132	0.0002	247636	Stimulus	S 5
29.3486	0.0002	248313	Response	R128
30.2134	0.0002	252637	Stimulus	S 5
31.2164	0.0002	257652	Stimulus	S 5
31.4486	0.0002	258813	Response	R128
32.2154	0.0002	262647	Stimulus	S 5
33.2174	0.0002	267657	Stimulus	S 5
33.5486	0.0002	269313	Response	R128
34.2184	0.0002	272662	Stimulus	S 5
35.2204	0.0002	277672	Stimulus	S 5
35.6486	0.0002	279813	Response	R128
36.2134	0.0002	282637	Stimulus	S 5
37.2232	0.0002	287686	Stimulus	S 5
37.7486	0.0002	290313	Response	R128
38.2234	0.0002	292687	Stimulus	S 5
39.2234	0.0002	297687	Stimulus	S 5
39.8486	0.0002	300813	Response	R128
40.2288	0.0002	302714	Stimulus	S 5
41.2286	0.0002	307713	Stimulus	S 5
