onset	duration	sample	type	marker_code
0	0.0002	176184	Response	R128
0	0.0002	186684	Response	R128
0	0.0002	186843	Stimulus	S 1
0.0024	0.0002	186855	Stimulus	S 10
0.0052	0.0002	186869	Stimulus	S 11
0.0072	0.0002	186879	Stimulus	S 12
1.0024	0.0002	191855	Stimulus	S 11
2.0024	0.0002	196855	Stimulus	S 11
2.0046	0.0002	196866	Stimulus	S 12
2.0682	0.0002	197184	Response	R128
3.0024	0.0002	201855	Stimulus	S 11
4.0024	0.0002	206855	Stimulus	S 11
4.0044	0.0002	206865	Stimulus	S 12
4.1682	0.0002	207684	Response	R128
5.0022	0.0002	211854	Stimulus	S 11
6.0022	0.0002	216854	Stimulus	S 11
6.0042	0.0002	216864	Stimulus	S 12
6.2682	0.0002	218184	Response	R128
7.0022	0.0002	221854	Stimulus	S 11
8.002	0.0002	226853	Stimulus	S 11
8.0042	0.0002	226864	Stimulus	S 12
8.3682	0.0002	228684	Response	R128
9.002	0.0002	231853	Stimulus	S 11
10.002	0.0002	236853	Stimulus	S 11
10.004	0.0002	236863	Stimulus	S 12
10.4682	0.0002	239184	Response	R128
11.002	0.0002	241853	Stimulus	S 11
12.0018	0.0002	246852	Stimulus	S 11
12.004	0.0002	246863	Stimulus	S 12
12.5682	0.0002	249684	Response	R128
13.0018	0.0002	251852	Stimulus	S 11
14.0016	0.0002	256851	Stimulus	S 11
14.0038	0.0002	256862	Stimulus	S 12
14.6682	0.0002	260184	Response	R128
15.0016	0.0002	261851	Stimulus	S 11
16.0016	0.0002	266851	Stimulus	S 11
16.0036	0.0002	266861	Stimulus	S 12
16.7682	0.0002	270684	Response	R128
17.0014	0.0002	271850	Stimulus	S 11
18.0014	0.0002	276850	Stimulus	S 11
18.0036	0.0002	276861	Stimulus	S 12
18.8682	0.0002	281184	Response	R128
19.0014	0.0002	281850	Stimulus	S 11
20.0014	0.0002	286850	Stimulus	S 25
20.0036	0.0002	286861	Stimulus	S 26
20.0056	0.0002	286871	Stimulus	S 27
20.9682	0.0002	291684	Response	R128
21.0012	0.0002	291849	Stimulus	S 26
22.0012	0.0002	296849	Stimulus	S 26
22.0034	0.0002	296860	Stimulus	S 27
23.0012	0.0002	301849	Stimulus	S 26
23.0682	0.0002	302184	Response	R128
24.0012	0.0002	306849	Stimulus	S 26
24.0032	0.0002	306859	Stimulus	S 27
25.001	0.0002	311848	Stimulus	S 26
25.1682	0.0002	312684	Response	R128
26.001	0.0002	316848	Stimulus	S 26
26.0032	0.0002	316859	Stimulus	S 27
27.001	0.0002	321848	Stimulus	S 26
27.2682	0.0002	323184	Response	R128
28.001	0.0002	326848	Stimulus	S 26
28.003	0.0002	326858	Stimulus	S 27
29.0008	0.0002	331847	Stimulus	S 26
29.3682	0.0002	333684	Response	R128
30.0008	0.0002	336847	Stimulus	S 26
30.003	0.0002	336858	Stimulus	S 27
31.0008	0.0002	341847	Stimulus	S 26
31.4682	0.0002	344184	Response	R128
32.0006	0.0002	346846	Stimulus	S 26
32.0028	0.0002	346857	Stimulus	S 27
33.0006	0.0002	351846	Stimulus	S 26
33.5682	0.0002	354684	Response	R128
34.0006	0.0002	356846	Stimulus	S 26
34.0026	0.0002	356856	Stimulus	S 27
35.0006	0.0002	361846	Stimulus	S 26
35.6682	0.0002	365184	Response	R128
36.0004	0.0002	366845	Stimulus	S 26
36.0026	0.0002	366856	Stimulus	S 27
37.0004	0.0002	371845	Stimulus	S 26
37.7682	0.0002	375684	Response	R128
38.0004	0.0002	376845	Stimulus	S 26
38.0024	0.0002	376855	Stimulus	S 27
39.0002	0.0002	381844	Stimulus	S 26
39.8682	0.0002	386184	Response	R128
40.0004	0.0002	386845	Stimulus	S 10
40.0026	0.0002	386856	Stimulus	S 11
40.0046	0.0002	386866	Stimulus	S 12
41.0002	0.0002	391844	Stimulus	S 11
41.9682	0.0002	396684	Response	R128
42	0.0002	396843	Stimulus	S 11
42.0022	0.0002	396854	Stimulus	S 12
43	0.0002	401843	Stimulus	S 11
44	0.0002	406843	Stimulus	S 11
44.002	0.0002	406853	Stimulus	S 12
44.0682	0.0002	407184	Response	R128
45	0.0002	411843	Stimulus	S 11
45.9998	0.0002	416842	Stimulus	S 11
46.002	0.0002	416853	Stimulus	S 12
46.1682	0.0002	417684	Response	R128
46.9998	0.0002	421842	Stimulus	S 11
47.9998	0.0002	426842	Stimulus	S 11
48.0018	0.0002	426852	Stimulus	S 12
48.2682	0.0002	428184	Response	R128
48.9998	0.0002	431842	Stimulus	S 11
49.9996	0.0002	436841	Stimulus	S 11
50.0018	0.0002	436852	Stimulus	S 12
50.3682	0.0002	438684	Response	R128
50.9996	0.0002	441841	Stimulus	S 11
51.9994	0.0002	446840	Stimulus	S 11
52.0016	0.0002	446851	Stimulus	S 12
52.4682	0.0002	449184	Response	R128
52.9994	0.0002	451840	Stimulus	S 11
53.9994	0.0002	456840	Stimulus	S 11
54.0016	0.0002	456851	Stimulus	S 12
54.5682	0.0002	459684	Response	R128
54.9994	0.0002	461840	Stimulus	S 11
55.9992	0.0002	466839	Stimulus	S 11
56.0014	0.0002	466850	Stimulus	S 12
56.6682	0.0002	470184	Response	R128
56.9992	0.0002	471839	Stimulus	S 11
57.9992	0.0002	476839	Stimulus	S 11
58.0014	0.0002	476850	Stimulus	S 12
58.7682	0.0002	480684	Response	R128
58.999	0.0002	481838	Stimulus	S 11
59.999	0.0002	486838	Stimulus	S 25
60.0012	0.0002	486849	Stimulus	S 26
60.0032	0.0002	486859	Stimulus	S 27
60.8682	0.0002	491184	Response	R128
60.999	0.0002	491838	Stimulus	S 26
61.999	0.0002	496838	Stimulus	S 26
62.001	0.0002	496848	Stimulus	S 27
62.9682	0.0002	501684	Response	R128
62.9988	0.0002	501837	Stimulus	S 26
63.9988	0.0002	506837	Stimulus	S 26
64.001	0.0002	506848	Stimulus	S 27
64.9988	0.0002	511837	Stimulus	S 26
65.0682	0.0002	512184	Response	R128
65.9986	0.0002	516836	Stimulus	S 26
66.0008	0.0002	516847	Stimulus	S 27
66.9986	0.0002	521836	Stimulus	S 26
67.1682	0.0002	522684	Response	R128
67.9986	0.0002	526836	Stimulus	S 26
68.0006	0.0002	526846	Stimulus	S 27
68.9986	0.0002	531836	Stimulus	S 26
69.2682	0.0002	533184	Response	R128
69.9984	0.0002	536835	Stimulus	S 26
70.0006	0.0002	536846	Stimulus	S 27
70.9984	0.0002	541835	Stimulus	S 26
71.3682	0.0002	543684	Response	R128
71.9984	0.0002	546835	Stimulus	S 26
72.0006	0.0002	546846	Stimulus	S 27
72.9984	0.0002	551835	Stimulus	S 26
73.4682	0.0002	554184	Response	R128
73.9982	0.0002	556834	Stimulus	S 26
74.0004	0.0002	556845	Stimulus	S 27
74.9982	0.0002	561834	Stimulus	S 26
75.5682	0.0002	564684	Response	R128
75.9982	0.0002	566834	Stimulus	S 26
76.0002	0.0002	566844	Stimulus	S 27
76.998	0.0002	571833	Stimulus	S 26
77.6682	0.0002	575184	Response	R128
77.998	0.0002	576833	Stimulus	S 26
78.0002	0.0002	576844	Stimulus	S 27
78.998	0.0002	581833	Stimulus	S 26
79.7682	0.0002	585684	Response	R128
79.9978	0.0002	586832	Stimulus	S 10
80	0.0002	586843	Stimulus	S 11
80.002	0.0002	586853	Stimulus	S 12
80.9978	0.0002	591832	Stimulus	S 11
81.8682	0.0002	596184	Response	R128
81.9978	0.0002	596832	Stimulus	S 11
82	0.0002	596843	Stimulus	S 12
82.9978	0.0002	601832	Stimulus	S 11
83.9682	0.0002	606684	Response	R128
83.9978	0.0002	606832	Stimulus	S 11
83.9998	0.0002	606842	Stimulus	S 12
84.9976	0.0002	611831	Stimulus	S 11
85.9976	0.0002	616831	Stimulus	S 11
85.9998	0.0002	616842	Stimulus	S 12
86.0682	0.0002	617184	Response	R128
86.9976	0.0002	621831	Stimulus	S 11
87.9974	0.0002	626830	Stimulus	S 11
87.9996	0.0002	626841	Stimulus	S 12
88.1682	0.0002	627684	Response	R128
88.9974	0.0002	631830	Stimulus	S 11
89.9974	0.0002	636830	Stimulus	S 11
89.9994	0.0002	636840	Stimulus	S 12
90.2682	0.0002	638184	Response	R128
90.9972	0.0002	641829	Stimulus	S 11
91.9972	0.0002	646829	Stimulus	S 11
91.9994	0.0002	646840	Stimulus	S 12
92.3682	0.0002	648684	Response	R128
92.9972	0.0002	651829	Stimulus	S 11
93.997	0.0002	656828	Stimulus	S 11
93.9992	0.0002	656839	Stimulus	S 12
94.4682	0.0002	659184	Response	R128
94.997	0.0002	661828	Stimulus	S 11
95.997	0.0002	666828	Stimulus	S 11
95.999	0.0002	666838	Stimulus	S 12
96.5682	0.0002	669684	Response	R128
96.9968	0.0002	671827	Stimulus	S 11
97.9968	0.0002	676827	Stimulus	S 11
97.999	0.0002	676838	Stimulus	S 12
98.6682	0.0002	680184	Response	R128
98.9968	0.0002	681827	Stimulus	S 11
99.9968	0.0002	686827	Stimulus	S 25
