onset	duration	sample	type	marker_code
0	0.0002	69749	Response	R128
0	0.0002	80249	Response	R128
0	0.0002	80491	Stimulus	S 1
1.0162	0.0002	85572	Stimulus	S 5
2.0162	0.0002	90572	Stimulus	S 5
2.0516	0.0002	90749	Response	R128
3.0164	0.0002	95573	Stimulus	S 5
4.017	0.0002	100576	Stimulus	S 5
4.1516	0.0002	101249	Response	R128
5.0164	0.0002	105573	Stimulus	S 5
6.0166	0.0002	110574	Stimulus	S 5
6.2516	0.0002	111749	Response	R128
7.0166	0.0002	115574	Stimulus	S 5
8.0166	0.0002	120574	Stimulus	S 5
8.3516	0.0002	122249	Response	R128
9.0164	0.0002	125573	Stimulus	S 5
10.0166	0.0002	130574	Stimulus	S 5
10.4516	0.0002	132749	Response	R128
11.0166	0.0002	135574	Stimulus	S 5
12.0166	0.0002	140574	Stimulus	S 5
12.5516	0.0002	143249	Response	R128
13.0166	0.0002	145574	Stimulus	S 5
14.0168	0.0002	150575	Stimulus	S 5
14.6516	0.0002	153749	Response	R128
15.0168	0.0002	155575	Stimulus	S 5
16.0168	0.0002	160575	Stimulus	S 5
16.7516	0.0002	164249	Response	R128
17.0168	0.0002	165575	Stimulus	S 5
18.0168	0.0002	170575	Stimulus	S 5
18.8516	0.0002	174749	Response	R128
19.0168	0.0002	175575	Stimulus	S 5
20.0168	0.0002	180575	Stimulus	S 5
20.9516	0.0002	185249	Response	R128
21.017	0.0002	185576	Stimulus	S 5
22.017	0.0002	190576	Stimulus	S 5
23.017	0.0002	195576	Stimulus	S 5
23.0516	0.0002	195749	Response	R128
24.017	0.0002	200576	Stimulus	S 5
25.017	0.0002	205576	Stimulus	S 5
25.1516	0.0002	206249	Response	R128
26.0172	0.0002	210577	Stimulus	S 5
27.0172	0.0002	215577	Stimulus	S 5
27.2516	0.0002	216749	Response	R128
28.0172	0.0002	220577	Stimulus	S 5
29.0172	0.0002	225577	Stimulus	S 5
29.3516	0.0002	227249	Response	R128
30.0172	0.0002	230577	Stimulus	S 5
31.0172	0.0002	235577	Stimulus	S 5
31.4516	0.0002	237749	Response	R128
32.0172	0.0002	240577	Stimulus	S 5
33.0174	0.0002	245578	Stimulus	S 5
33.5516	0.0002	248249	Response	R128
34.0174	0.0002	250578	Stimulus	S 5
35.0176	0.0002	255579	Stimulus	S 5
35.6516	0.0002	258749	Response	R128
36.0176	0.0002	260579	Stimulus	S 5
37.0174	0.0002	265578	Stimulus	S 5
37.7516	0.0002	269249	Response	R128
38.0176	0.0002	270579	Stimulus	S 5
39.0176	0.0002	275579	Stimulus	S 5
39.8516	0.0002	279749	Response	R128
40.0176	0.0002	280579	Stimulus	S 5
41.0178	0.0002	285580	Stimulus	S 5
41.9516	0.0002	290249	Response	R128
42.0178	0.0002	290580	Stimulus	S 5
43.0178	0.0002	295580	Stimulus	S 5
44.0178	0.0002	300580	Stimulus	S 5
44.0516	0.0002	300749	Response	R128
45.018	0.0002	305581	Stimulus	S 5
46.018	0.0002	310581	Stimulus	S 5
46.1516	0.0002	311249	Response	R128
47.018	0.0002	315581	Stimulus	S 5
48.0178	0.0002	320580	Stimulus	S 5
48.2516	0.0002	321749	Response	R128
49.018	0.0002	325581	Stimulus	S 5
50.018	0.0002	330581	Stimulus	S 5
50.3516	0.0002	332249	Response	R128
51.018	0.0002	335581	Stimulus	S 5
52.018	0.0002	340581	Stimulus	S 5
52.4516	0.0002	342749	Response	R128
53.018	0.0002	345581	Stimulus	S 5
54.0182	0.0002	350582	Stimulus	S 5
54.5516	0.0002	353249	Response	R128
55.0182	0.0002	355582	Stimulus	S 5
56.0182	0.0002	360582	Stimulus	S 5
56.6516	0.0002	363749	Response	R128
57.0182	0.0002	365582	Stimulus	S 5
58.0182	0.0002	370582	Stimulus	S 5
58.7516	0.0002	374249	Response	R128
59.0182	0.0002	375582	Stimulus	S 5
60.0184	0.0002	380583	Stimulus	S 5
60.8516	0.0002	384749	Response	R128
61.0184	0.0002	385583	Stimulus	S 5
62.0182	0.0002	390582	Stimulus	S 5
62.9516	0.0002	395249	Response	R128
63.0184	0.0002	395583	Stimulus	S 5
64.0184	0.0002	400583	Stimulus	S 5
65.0186	0.0002	405584	Stimulus	S 5
65.0516	0.0002	405749	Response	R128
66.0186	0.0002	410584	Stimulus	S 5
67.0184	0.0002	415583	Stimulus	S 5
67.1516	0.0002	416249	Response	R128
68.0186	0.0002	420584	Stimulus	S 5
69.0188	0.0002	425585	Stimulus	S 5
69.2516	0.0002	426749	Response	R128
70.0188	0.0002	430585	Stimulus	S 5
71.0188	0.0002	435585	Stimulus	S 5
71.3516	0.0002	437249	Response	R128
72.0188	0.0002	440585	Stimulus	S 5
73.0188	0.0002	445585	Stimulus	S 5
73.4516	0.0002	447749	Response	R128
74.0188	0.0002	450585	Stimulus	S 5
75.019	0.0002	455586	Stimulus	S 5
75.5516	0.0002	458249	Response	R128
76.019	0.0002	460586	Stimulus	S 5
77.019	0.0002	465586	Stimulus	S 5
77.6516	0.0002	468749	Response	R128
78.019	0.0002	470586	Stimulus	S 5
79.019	0.0002	475586	Stimulus	S 5
79.7516	0.0002	479249	Response	R128
80.0192	0.0002	480587	Stimulus	S 5
81.0192	0.0002	485587	Stimulus	S 5
81.8516	0.0002	489749	Response	R128
82.0192	0.0002	490587	Stimulus	S 5
83.0192	0.0002	495587	Stimulus	S 5
83.9516	0.0002	500249	Response	R128
84.0192	0.0002	500587	Stimulus	S 5
85.0194	0.0002	505588	Stimulus	S 5
86.0194	0.0002	510588	Stimulus	S 5
86.0516	0.0002	510749	Response	R128
87.0192	0.0002	515587	Stimulus	S 5
88.0194	0.0002	520588	Stimulus	S 5
88.1516	0.0002	521249	Response	R128
89.0194	0.0002	525588	Stimulus	S 5
90.0194	0.0002	530588	Stimulus	S 5
90.2516	0.0002	531749	Response	R128
91.0194	0.0002	535588	Stimulus	S 5
92.0194	0.0002	540588	Stimulus	S 5
92.3516	0.0002	542249	Response	R128
93.0196	0.0002	545589	Stimulus	S 5
94.0196	0.0002	550589	Stimulus	S 5
94.4516	0.0002	552749	Response	R128
95.0196	0.0002	555589	Stimulus	S 5
96.0196	0.0002	560589	Stimulus	S 5
96.5516	0.0002	563249	Response	R128
97.0196	0.0002	565589	Stimulus	S 5
98.0196	0.0002	570589	Stimulus	S 5
98.6516	0.0002	573749	Response	R128
99.0196	0.0002	575589	Stimulus	S 5
100.0198	0.0002	580590	Stimulus	S 5
100.7516	0.0002	584249	Response	R128
