onset	duration	sample	type	marker_code
0	0.0002	39456	Response	R128
0	0.0002	39679	Stimulus	S 1
0.0022	0.0002	39690	Stimulus	S 5
0.999	0.0002	44674	Stimulus	S 5
1.9988	0.0002	49673	Stimulus	S 5
2.0554	0.0002	49956	Response	R128
2.9988	0.0002	54673	Stimulus	S 5
3.999	0.0002	59674	Stimulus	S 5
4.1554	0.0002	60456	Response	R128
4.9984	0.0002	64671	Stimulus	S 5
5.9984	0.0002	69671	Stimulus	S 5
6.2554	0.0002	70956	Response	R128
6.9984	0.0002	74671	Stimulus	S 5
7.9982	0.0002	79670	Stimulus	S 5
8.3554	0.0002	81456	Response	R128
8.9982	0.0002	84670	Stimulus	S 5
9.9982	0.0002	89670	Stimulus	S 5
10.4554	0.0002	91956	Response	R128
10.9982	0.0002	94670	Stimulus	S 5
11.998	0.0002	99669	Stimulus	S 5
12.5554	0.0002	102456	Response	R128
12.998	0.0002	104669	Stimulus	S 5
13.998	0.0002	109669	Stimulus	S 5
14.6554	0.0002	112956	Response	R128
14.9978	0.0002	114668	Stimulus	S 5
15.9978	0.0002	119668	Stimulus	S 5
16.7554	0.0002	123456	Response	R128
16.9978	0.0002	124668	Stimulus	S 5
17.9976	0.0002	129667	Stimulus	S 5
18.8554	0.0002	133956	Response	R128
18.9976	0.0002	134667	Stimulus	S 5
19.9976	0.0002	139667	Stimulus	S 5
20.9554	0.0002	144456	Response	R128
20.9974	0.0002	144666	Stimulus	S 5
21.9974	0.0002	149666	Stimulus	S 5
22.9974	0.0002	154666	Stimulus	S 5
23.0554	0.0002	154956	Response	R128
23.9972	0.0002	159665	Stimulus	S 5
24.9972	0.0002	164665	Stimulus	S 5
25.1554	0.0002	165456	Response	R128
25.9972	0.0002	169665	Stimulus	S 5
26.997	0.0002	174664	Stimulus	S 5
27.2554	0.0002	175956	Response	R128
27.997	0.0002	179664	Stimulus	S 5
28.997	0.0002	184664	Stimulus	S 5
29.3554	0.0002	186456	Response	R128
29.997	0.0002	189664	Stimulus	S 5
30.9968	0.0002	194663	Stimulus	S 5
31.4554	0.0002	196956	Response	R128
31.9968	0.0002	199663	Stimulus	S 5
32.9968	0.0002	204663	Stimulus	S 5
33.5554	0.0002	207456	Response	R128
33.9966	0.0002	209662	Stimulus	S 5
34.9966	0.0002	214662	Stimulus	S 5
35.6554	0.0002	217956	Response	R128
35.9966	0.0002	219662	Stimulus	S 5
36.9964	0.0002	224661	Stimulus	S 5
37.7554	0.0002	228456	Response	R128
37.9964	0.0002	229661	Stimulus	S 5
