onset	duration	sample	type	marker_code
0	0.0002	103043	Response	R128
0	0.0002	113543	Response	R128
0	0.0002	113767	Stimulus	S 1
1.0568	0.0002	119051	Stimulus	S 5
2.0528	0.0002	124031	Stimulus	S 5
2.0552	0.0002	124043	Response	R128
3.0558	0.0002	129046	Stimulus	S 5
4.0578	0.0002	134056	Stimulus	S 5
4.1552	0.0002	134543	Response	R128
5.0598	0.0002	139066	Stimulus	S 5
6.0528	0.0002	144031	Stimulus	S 5
6.2552	0.0002	145043	Response	R128
7.0656	0.0002	149095	Stimulus	S 5
8.0656	0.0002	154095	Stimulus	S 5
8.3552	0.0002	155543	Response	R128
9.0656	0.0002	159095	Stimulus	S 5
10.0654	0.0002	164094	Stimulus	S 5
10.4552	0.0002	166043	Response	R128
11.0654	0.0002	169094	Stimulus	S 5
12.0668	0.0002	174101	Stimulus	S 5
12.5552	0.0002	176543	Response	R128
13.068	0.0002	179107	Stimulus	S 5
14.068	0.0002	184107	Stimulus	S 5
14.6552	0.0002	187043	Response	R128
15.07	0.0002	189117	Stimulus	S 5
16.065	0.0002	194092	Stimulus	S 5
16.7552	0.0002	197543	Response	R128
17.0726	0.0002	199130	Stimulus	S 5
18.073	0.0002	204132	Stimulus	S 5
18.8552	0.0002	208043	Response	R128
19.0748	0.0002	209141	Stimulus	S 5
20.075	0.0002	214142	Stimulus	S 5
20.9552	0.0002	218543	Response	R128
21.076	0.0002	219147	Stimulus	S 5
22.074	0.0002	224137	Stimulus	S 5
23.0552	0.0002	229043	Response	R128
23.077	0.0002	229152	Stimulus	S 5
24.0814	0.0002	234174	Stimulus	S 5
25.0812	0.0002	239173	Stimulus	S 5
25.1552	0.0002	239543	Response	R128
26.0824	0.0002	244179	Stimulus	S 5
27.0826	0.0002	249180	Stimulus	S 5
27.2552	0.0002	250043	Response	R128
28.083	0.0002	254182	Stimulus	S 5
29.083	0.0002	259182	Stimulus	S 5
29.3552	0.0002	260543	Response	R128
30.0842	0.0002	264188	Stimulus	S 5
31.0872	0.0002	269203	Stimulus	S 5
31.4552	0.0002	271043	Response	R128
32.0862	0.0002	274198	Stimulus	S 5
33.0862	0.0002	279198	Stimulus	S 5
33.5552	0.0002	281543	Response	R128
34.0872	0.0002	284203	Stimulus	S 5
35.0902	0.0002	289218	Stimulus	S 5
35.6552	0.0002	292043	Response	R128
36.0832	0.0002	294183	Stimulus	S 5
37.0932	0.0002	299233	Stimulus	S 5
37.7552	0.0002	302543	Response	R128
38.0972	0.0002	304253	Stimulus	S 5
39.0972	0.0002	309253	Stimulus	S 5
39.8552	0.0002	313043	Response	R128
40.097	0.0002	314252	Stimulus	S 5
41.0974	0.0002	319254	Stimulus	S 5
41.9552	0.0002	323543	Response	R128
42.0972	0.0002	324253	Stimulus	S 5
43.0982	0.0002	329258	Stimulus	S 5
44.0552	0.0002	334043	Response	R128
44.0972	0.0002	334253	Stimulus	S 5
45.1002	0.0002	339268	Stimulus	S 5
46.0968	0.0002	344251	Stimulus	S 5
46.1552	0.0002	344543	Response	R128
47.103	0.0002	349282	Stimulus	S 5
48.1034	0.0002	354284	Stimulus	S 5
48.2552	0.0002	355043	Response	R128
49.1044	0.0002	359289	Stimulus	S 5
50.1044	0.0002	364289	Stimulus	S 5
50.3552	0.0002	365543	Response	R128
51.1044	0.0002	369289	Stimulus	S 5
52.1064	0.0002	374299	Stimulus	S 5
52.4552	0.0002	376043	Response	R128
53.1074	0.0002	379304	Stimulus	S 5
54.113	0.0002	384332	Stimulus	S 5
54.5552	0.0002	386543	Response	R128
55.113	0.0002	389332	Stimulus	S 5
56.1128	0.0002	394331	Stimulus	S 5
56.6552	0.0002	397043	Response	R128
57.113	0.0002	399332	Stimulus	S 5
58.1134	0.0002	404334	Stimulus	S 5
58.7552	0.0002	407543	Response	R128
59.1154	0.0002	409344	Stimulus	S 5
60.1144	0.0002	414339	Stimulus	S 5
60.8552	0.0002	418043	Response	R128
61.1136	0.0002	419335	Stimulus	S 5
62.1166	0.0002	424350	Stimulus	S 5
62.9552	0.0002	428543	Response	R128
63.1154	0.0002	429344	Stimulus	S 5
64.1174	0.0002	434354	Stimulus	S 5
65.0552	0.0002	439043	Response	R128
65.1206	0.0002	439370	Stimulus	S 5
66.1136	0.0002	444335	Stimulus	S 5
67.1232	0.0002	449383	Stimulus	S 5
67.1552	0.0002	449543	Response	R128
68.1236	0.0002	454385	Stimulus	S 5
69.1244	0.0002	459389	Stimulus	S 5
69.2552	0.0002	460043	Response	R128
70.1288	0.0002	464411	Stimulus	S 5
71.1286	0.0002	469410	Stimulus	S 5
71.3552	0.0002	470543	Response	R128
72.1286	0.0002	474410	Stimulus	S 5
73.1296	0.0002	479415	Stimulus	S 5
73.4552	0.0002	481043	Response	R128
74.1286	0.0002	484410	Stimulus	S 5
75.1306	0.0002	489420	Stimulus	S 5
75.5552	0.0002	491543	Response	R128
76.1284	0.0002	494409	Stimulus	S 5
77.1332	0.0002	499433	Stimulus	S 5
77.6552	0.0002	502043	Response	R128
78.1336	0.0002	504435	Stimulus	S 5
79.1356	0.0002	509445	Stimulus	S 5
79.7552	0.0002	512543	Response	R128
80.1356	0.0002	514445	Stimulus	S 5
81.1378	0.0002	519456	Stimulus	S 5
81.8552	0.0002	523043	Response	R128
82.1348	0.0002	524441	Stimulus	S 5
83.1376	0.0002	529455	Stimulus	S 5
83.9552	0.0002	533543	Response	R128
84.1388	0.0002	534461	Stimulus	S 5
85.1408	0.0002	539471	Stimulus	S 5
86.0552	0.0002	544043	Response	R128
86.1446	0.0002	544490	Stimulus	S 5
87.1446	0.0002	549490	Stimulus	S 5
88.1448	0.0002	554491	Stimulus	S 5
88.1552	0.0002	554543	Response	R128
89.1448	0.0002	559491	Stimulus	S 5
90.1446	0.0002	564490	Stimulus	S 5
90.2552	0.0002	565043	Response	R128
91.1448	0.0002	569491	Stimulus	S 5
92.1468	0.0002	574501	Stimulus	S 5
92.3552	0.0002	575543	Response	R128
93.1458	0.0002	579496	Stimulus	S 5
94.1478	0.0002	584506	Stimulus	S 5
94.4552	0.0002	586043	Response	R128
95.1508	0.0002	589521	Stimulus	S 5
96.1448	0.0002	594491	Stimulus	S 5
96.5552	0.0002	596543	Response	R128
97.1534	0.0002	599534	Stimulus	S 5
98.1548	0.0002	604541	Stimulus	S 5
98.6552	0.0002	607043	Response	R128
99.155	0.0002	609542	Stimulus	S 5
100.155	0.0002	614542	Stimulus	S 5
100.7552	0.0002	617543	Response	R128
101.1604	0.0002	619569	Stimulus	S 5
102.1602	0.0002	624568	Stimulus	S 5
102.8552	0.0002	628043	Response	R128
103.1602	0.0002	629568	Stimulus	S 5
104.1602	0.0002	634568	Stimulus	S 5
104.9552	0.0002	638543	Response	R128
105.1608	0.0002	639571	Stimulus	S 5
106.16	0.0002	644567	Stimulus	S 5
107.0552	0.0002	649043	Response	R128
107.1636	0.0002	649585	Stimulus	S 5
108.164	0.0002	654587	Stimulus	S 5
109.1552	0.0002	659543	Response	R128
109.165	0.0002	659592	Stimulus	S 5
110.165	0.0002	664592	Stimulus	S 5
111.164	0.0002	669587	Stimulus	S 5
111.2552	0.0002	670043	Response	R128
112.165	0.0002	674592	Stimulus	S 5
113.169	0.0002	679612	Stimulus	S 5
113.3552	0.0002	680543	Response	R128
114.169	0.0002	684612	Stimulus	S 5
115.1712	0.0002	689623	Stimulus	S 5
115.4552	0.0002	691043	Response	R128
116.1762	0.0002	694648	Stimulus	S 5
117.176	0.0002	699647	Stimulus	S 5
117.5552	0.0002	701543	Response	R128
118.176	0.0002	704647	Stimulus	S 5
119.176	0.0002	709647	Stimulus	S 5
119.6552	0.0002	712043	Response	R128
120.1762	0.0002	714648	Stimulus	S 5
121.177	0.0002	719652	Stimulus	S 5
121.7552	0.0002	722543	Response	R128
122.1772	0.0002	724653	Stimulus	S 5
123.1782	0.0002	729658	Stimulus	S 5
123.8552	0.0002	733043	Response	R128
124.1782	0.0002	734658	Stimulus	S 5
125.1812	0.0002	739673	Stimulus	S 5
125.9552	0.0002	743543	Response	R128
126.1764	0.0002	744649	Stimulus	S 5
127.1838	0.0002	749686	Stimulus	S 5
128.0552	0.0002	754043	Response	R128
128.1842	0.0002	754688	Stimulus	S 5
129.1852	0.0002	759693	Stimulus	S 5
130.1552	0.0002	764543	Response	R128
130.1852	0.0002	764693	Stimulus	S 5
131.1852	0.0002	769693	Stimulus	S 5
132.1882	0.0002	774708	Stimulus	S 5
132.2552	0.0002	775043	Response	R128
133.1918	0.0002	779726	Stimulus	S 5
134.1918	0.0002	784726	Stimulus	S 5
134.3552	0.0002	785543	Response	R128
135.1924	0.0002	789729	Stimulus	S 5
136.1916	0.0002	794725	Stimulus	S 5
136.4552	0.0002	796043	Response	R128
137.1944	0.0002	799739	Stimulus	S 5
138.1952	0.0002	804743	Stimulus	S 5
138.5552	0.0002	806543	Response	R128
139.1962	0.0002	809748	Stimulus	S 5
140.1954	0.0002	814744	Stimulus	S 5
140.6552	0.0002	817043	Response	R128
141.1944	0.0002	819739	Stimulus	S 5
142.1984	0.0002	824759	Stimulus	S 5
142.7552	0.0002	827543	Response	R128
143.1984	0.0002	829759	Stimulus	S 5
144.1984	0.0002	834759	Stimulus	S 5
144.8552	0.0002	838043	Response	R128
145.2014	0.0002	839774	Stimulus	S 5
146.1944	0.0002	844739	Stimulus	S 5
146.9552	0.0002	848543	Response	R128
147.2076	0.0002	849805	Stimulus	S 5
148.2076	0.0002	854805	Stimulus	S 5
149.0552	0.0002	859043	Response	R128
149.2076	0.0002	859805	Stimulus	S 5
150.2076	0.0002	864805	Stimulus	S 5
151.1552	0.0002	869543	Response	R128
151.2084	0.0002	869809	Stimulus	S 5
152.2074	0.0002	874804	Stimulus	S 5
153.2084	0.0002	879809	Stimulus	S 5
153.2552	0.0002	880043	Response	R128
154.2084	0.0002	884809	Stimulus	S 5
155.2114	0.0002	889824	Stimulus	S 5
155.3552	0.0002	890543	Response	R128
156.2072	0.0002	894803	Stimulus	S 5
157.214	0.0002	899837	Stimulus	S 5
157.4552	0.0002	901043	Response	R128
158.2156	0.0002	904845	Stimulus	S 5
159.2156	0.0002	909845	Stimulus	S 5
159.5552	0.0002	911543	Response	R128
160.2166	0.0002	914850	Stimulus	S 5
161.2146	0.0002	919840	Stimulus	S 5
161.6552	0.0002	922043	Response	R128
162.2176	0.0002	924855	Stimulus	S 5
163.2176	0.0002	929855	Stimulus	S 5
163.7552	0.0002	932543	Response	R128
164.2234	0.0002	934884	Stimulus	S 5
165.2234	0.0002	939884	Stimulus	S 5
165.8552	0.0002	943043	Response	R128
166.2232	0.0002	944883	Stimulus	S 5
167.2246	0.0002	949890	Stimulus	S 5
167.9552	0.0002	953543	Response	R128
168.2256	0.0002	954895	Stimulus	S 5
169.2256	0.0002	959895	Stimulus	S 5
170.0552	0.0002	964043	Response	R128
170.2256	0.0002	964895	Stimulus	S 5
171.2246	0.0002	969890	Stimulus	S 5
172.1552	0.0002	974543	Response	R128
172.2276	0.0002	974905	Stimulus	S 5
173.2286	0.0002	979910	Stimulus	S 5
174.2286	0.0002	984910	Stimulus	S 5
174.2552	0.0002	985043	Response	R128
175.2316	0.0002	989925	Stimulus	S 5
176.2248	0.0002	994891	Stimulus	S 5
176.3552	0.0002	995543	Response	R128
177.2346	0.0002	999940	Stimulus	S 5
178.2392	0.0002	1004963	Stimulus	S 5
