name	x	y	z	type
Fp1	0.860906564459052	0.1856156269688	0.473694760680642	EEG
Fp2	0.820804176691922	-0.318220638531637	0.474358649902807	EEG
F3	0.560967260340713	0.302441370910841	0.770613359595722	EEG
F4	0.454685712210396	-0.403008192793638	0.794257703552777	EEG
C3	0.0871332725883941	0.461581380350141	0.882808258979318	EEG
C4	-0.00293881852910542	-0.470334377658409	0.882483391650138	EEG
P3	-0.405658180244375	0.400732160694726	0.821495694563129	EEG
P4	-0.471644445181673	-0.364396779651018	0.802973538984467	EEG
O1	-0.778045482880212	0.285802556076252	0.559430179298524	EEG
O2	-0.818275468471776	-0.213907498436959	0.533543662514829	EEG
F7	0.622266597384821	0.587625899920997	0.5171847672942	EEG
F8	0.498981525194791	-0.705833407397258	0.502808749442824	EEG
T7	0.0951589264508814	0.834034372550953	0.543444057949163	EEG
T8	-0.053769290387189	-0.855353068613385	0.51524750501572	EEG
P7	-0.501190860816005	0.683538086232477	0.530644330700098	EEG
P8	-0.597975740562634	-0.6053263863983	0.525361760721644	EEG
Fz	0.481389536651276	-0.0422448155492156	0.875488143587269	EEG
Cz	0.0162465069841292	0.0212618517375538	0.999641928228056	EEG
Pz	-0.435240447860337	0.0103330159235848	0.900254953514979	EEG
Oz	-0.832182839973374	0.020919440778424	0.554106576257102	EEG
FC1	0.284742625168809	0.214654679613617	0.934261743801998	EEG
FC2	0.217795556250585	-0.238801000475309	0.946329317864289	EEG
CP1	-0.170831216292761	0.258685986189777	0.950735639433464	EEG
CP2	-0.219999514168142	-0.2072445714978	0.953231294781322	EEG
FC5	0.376946758504347	0.592531937041404	0.711910840512368	EEG
FC6	0.251304799944011	-0.65576585202805	0.711910840512368	EEG
CP5	-0.194974928739866	0.649473422932907	0.734961937835353	EEG
CP6	-0.287183844394654	-0.616710591342512	0.732934844337937	EEG
TP9	-0.348860939621377	0.89802227743557	0.268052297203218	EEG
TP10	-0.448173598571688	-0.864614519997604	0.227117056498662	EEG
POz	-0.647578012873499	0.0217086739637646	0.76168986517975	EEG
ECG	1	-0	0	EEG
F1	0.490121707857467	0.122491859318735	0.863004319738621	EEG
F2	0.447386673258691	-0.235890213105019	0.862670836386504	EEG
C1	0.0502978503820543	0.219964753156989	0.974210261501864	EEG
C2	0.00100116339932292	-0.204135151147755	0.978942203471549	EEG
P1	-0.3710279474422	0.208637129628402	0.904880550325428	EEG
P2	-0.443574209439425	-0.187464321248793	0.876412602019687	EEG
AF3	0.707077266740733	0.233391744438185	0.667510323880129	EEG
AF4	0.676388534351195	-0.326542183371935	0.660203569421533	EEG
FC3	0.319762663528015	0.38782037683113	0.864492448971088	EEG
FC4	0.236016495829368	-0.46741566968769	0.851950001717726	EEG
CP3	-0.169115990185928	0.458655452759934	0.872373175606067	EEG
CP4	-0.243521214633294	-0.421111898146897	0.873706007340366	EEG
PO3	-0.626816157086021	0.298975970429919	0.719524060974614	EEG
PO4	-0.64705678159655	-0.224063500015869	0.728775047151419	EEG
F5	0.587722103579336	0.471679992464969	0.657343680027827	EEG
F6	0.502160243726475	-0.565159459609194	0.654545548327091	EEG
C5	0.0652368622176105	0.669306122038192	0.740117198023528	EEG
C6	-0.041410192179629	-0.678021668381077	0.733874521419967	EEG
P5	-0.453584810281614	0.546927976537638	0.703655177172908	EEG
P6	-0.534890578498069	-0.496529340219507	0.683630516679282	EEG
AF7	0.763931306285678	0.425251102947464	0.485356012344159	EEG
AF8	0.718925132869886	-0.513334585308969	0.46865153030123	EEG
FT7	0.373478780021033	0.74983618907136	0.54613120258134	EEG
FT8	0.214200635563888	-0.816948967080321	0.535455388347548	EEG
TP7	-0.252365037426259	0.801863388104557	0.541596708540888	EEG
TP8	-0.373233614636605	-0.772759089477051	0.513361528102656	EEG
PO7	-0.671975343585408	0.491811605168093	0.553688073408898	EEG
PO8	-0.740191315826788	-0.415715802721607	0.528485749422005	EEG
Fpz	0.876301831907032	-0.0446644781705388	0.479687589777068	EEG
CPz	-0.22511148301089	0.0232233005840393	0.974056209120717	EEG
EOGL	1	-0	0	EEG
EOGU	1	-0	0	EEG
