onset	duration	sample	type	marker_code
0	0.0002	64599	Response	R128
0	0.0002	75099	Response	R128
0	0.0002	75290	Stimulus	S 1
1.7824	0.0002	84202	Stimulus	S 5
2.0618	0.0002	85599	Response	R128
2.7838	0.0002	89209	Stimulus	S 5
3.7852	0.0002	94216	Stimulus	S 5
4.1618	0.0002	96099	Response	R128
4.7858	0.0002	99219	Stimulus	S 5
5.787	0.0002	104225	Stimulus	S 5
6.2618	0.0002	106599	Response	R128
6.788	0.0002	109230	Stimulus	S 5
7.789	0.0002	114235	Stimulus	S 5
8.3618	0.0002	117099	Response	R128
8.79	0.0002	119240	Stimulus	S 5
9.7912	0.0002	124246	Stimulus	S 5
10.4618	0.0002	127599	Response	R128
10.7922	0.0002	129251	Stimulus	S 5
11.7972	0.0002	134276	Stimulus	S 5
12.5618	0.0002	138099	Response	R128
12.7972	0.0002	139276	Stimulus	S 5
13.7972	0.0002	144276	Stimulus	S 5
14.6618	0.0002	148599	Response	R128
14.7972	0.0002	149276	Stimulus	S 5
15.7976	0.0002	154278	Stimulus	S 5
16.7618	0.0002	159099	Response	R128
16.7986	0.0002	159283	Stimulus	S 5
17.7998	0.0002	164289	Stimulus	S 5
18.801	0.0002	169295	Stimulus	S 5
18.8618	0.0002	169599	Response	R128
19.802	0.0002	174300	Stimulus	S 5
20.803	0.0002	179305	Stimulus	S 5
20.9618	0.0002	180099	Response	R128
21.8042	0.0002	184311	Stimulus	S 5
22.8054	0.0002	189317	Stimulus	S 5
23.0618	0.0002	190599	Response	R128
23.8064	0.0002	194322	Stimulus	S 5
24.8074	0.0002	199327	Stimulus	S 5
25.1618	0.0002	201099	Response	R128
25.8086	0.0002	204333	Stimulus	S 5
26.813	0.0002	209355	Stimulus	S 5
27.2618	0.0002	211599	Response	R128
27.813	0.0002	214355	Stimulus	S 5
28.8128	0.0002	219354	Stimulus	S 5
29.3618	0.0002	222099	Response	R128
29.8136	0.0002	224358	Stimulus	S 5
30.814	0.0002	229360	Stimulus	S 5
31.4618	0.0002	232599	Response	R128
31.815	0.0002	234365	Stimulus	S 5
32.816	0.0002	239370	Stimulus	S 5
33.5618	0.0002	243099	Response	R128
33.8172	0.0002	244376	Stimulus	S 5
34.8182	0.0002	249381	Stimulus	S 5
35.6618	0.0002	253599	Response	R128
35.8194	0.0002	254387	Stimulus	S 5
36.8206	0.0002	259393	Stimulus	S 5
37.7618	0.0002	264099	Response	R128
37.8216	0.0002	264398	Stimulus	S 5
38.8226	0.0002	269403	Stimulus	S 5
39.8238	0.0002	274409	Stimulus	S 5
39.8618	0.0002	274599	Response	R128
40.825	0.0002	279415	Stimulus	S 5
41.8288	0.0002	284434	Stimulus	S 5
41.9618	0.0002	285099	Response	R128
42.8288	0.0002	289434	Stimulus	S 5
43.8286	0.0002	294433	Stimulus	S 5
44.0618	0.0002	295599	Response	R128
44.829	0.0002	299435	Stimulus	S 5
45.8302	0.0002	304441	Stimulus	S 5
46.1618	0.0002	306099	Response	R128
46.8314	0.0002	309447	Stimulus	S 5
47.8324	0.0002	314452	Stimulus	S 5
48.2618	0.0002	316599	Response	R128
48.8334	0.0002	319457	Stimulus	S 5
